index,sentence index,reviewText,overall,productID,positive rationale,negative rationale,positive rationale encoded,negative rationale encoded
0,1,The kids loved it!,5,1713353,The kids \ loved \ it!,The kids loved it!,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
1,2,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.,5,1713353,My students (3 & 4 year olds) \ loved \ this book!  \ Definitely \ recommend it to other teachers.,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,3,LOVE IT,5,1713353,\ LOVE \ IT,LOVE IT,"[0, 1, 0, 0]","[0, 0, 0, 0]"
3,4,Great!,5,1713353,\ Great \ !,Great!,"[0, 1, 0, 0]","[0, 0, 0, 0]"
4,6,"I remember reading my parents' copy of this book until it fell apart. The story still makes me giggle. I just wanted to share it with my kids, who appreciated it even though most of them are teenagers now. The story is light-hearted and silly, but with a very powerful message about learning to live with the problems you have instead of trading them for larger problems.

The artwork is hysterical, too.",5,1713353,"I remember reading my parents' copy of this book until it fell apart. The story still makes me \ giggle \. I just wanted to share it with my kids, who \ appreciated \ it even though most of them are teenagers now. The story is \ light-hearted \ and silly, but with a very \ powerful \ message about learning to live with the problems you have instead of trading them for larger problems.

The artwork is \ hysterical \ , too.","I remember reading my parents' copy of this book until it fell apart. The story still makes me giggle. I just wanted to share it with my kids, who appreciated it even though most of them are teenagers now. The story is light-hearted and silly, but with a very powerful message about learning to live with the problems you have instead of trading them for larger problems.

The artwork is hysterical, too.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,7,I am very happy with the book!!!  It is one of my children's favorite books and I was so pleased I could order it here!!!,5,1713353,I am very \ happy \ with the book!!!  It is one of my children's \ favorite \ books and I was so \ pleased \ I could order it here!!!,I am very happy with the book!!!  It is one of my children's favorite books and I was so pleased I could order it here!!!,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,8,"My copy is so tattered, worn and so loved.  A well done plot on how it's sometimes better to get along, than to try to work the problem.",5,1713353,"My copy is so tattered, worn and so \ loved \.  A \ well \ done plot on how it's sometimes better to get along, than to try to work the problem.","My copy is so \ tattered \, \ worn \ and so loved.  A well done plot on how it's sometimes better to get along, than to try to work the problem.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,9,"This was one of my favorites when I was a small child, so I bought a copy for my nephew when he was just starting to read.",5,1713353,"This was one of my \ favorites \ when I was a small child, so I bought a copy for my nephew when he was just starting to read.","This was one of my favorites when I was a small child, so I bought a copy for my nephew when he was just starting to read.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,10,"So, you think you have problems? Things could be worse and this clever book can prove it. The king starts out with a problem. The mice are eating his cheese. The more he tries to fix the problem, the worse it gets. The king finally arranges to bring back the mice when he comes to the realization that his original dilemma  wasn't so intolerable after all. The solution requires cooperation from the king and the mice. It involves the cheese.",5,1713353,"So, you think you have problems? Things could be worse and this \ clever \ book can prove it. The king starts out with a problem. The mice are eating his cheese. The more he tries to fix the problem, the worse it gets. The king finally arranges to bring back the mice when he comes to the realization that his original dilemma  wasn't so intolerable after all. The solution requires cooperation from the king and the mice. It involves the cheese.","So, you think you have \ problems \ ? Things could be worse and this clever book can prove it. The king starts out with a \ problem \ . The mice are eating his cheese. The more he tries to fix the \ problem \ , the worse it gets. The king finally arranges to bring back the mice when he comes to the realization that his original dilemma  wasn't so intolerable after all. The solution requires cooperation from the king and the mice. It involves the cheese.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,11,"My mom bought this for my oldest son.  He and his younger brother loved it.  When the baby rolled around, so to speak, 9 years later, it became his favorite too.  No one, child or , well, old child, fails to be delighted by this story.  Oddly, they all seem to have the same favorite page, too (when the elephants are run out of town by the returning mice). This is a never-fail hit, and cheers everyone up as they face the prospect of the nap.",5,1713353,"My mom bought this for my oldest son.  He and his younger brother \ loved \ it.  When the baby rolled around, so to speak, 9 years later, it became his \ favorite \ too.  No one, child or , well, old child, fails to be \ delighted \ by this story.  Oddly, they all seem to have the same \ favorite \ page, too (when the elephants are run out of town by the returning mice). This is a \ never-fail \ hit, and \ cheers \ everyone up as they face the prospect of the nap.","My mom bought this for my oldest son.  He and his younger brother loved it.  When the baby rolled around, so to speak, 9 years later, it became his favorite too.  No one, child or , well, old child, \ fails \ to be delighted by this story.  Oddly, they all seem to have the same favorite page, too (when the elephants are run out of town by the returning mice). This is a never-fail hit, and cheers everyone up as they face the prospect of the nap.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
